"Repository","Category","Language","Files","Code","Comment","Blank","Total"
"Backend","Configuration","GITIGNORE","1","16","0","1","17"
"Backend","Configuration","XML","1","108","0","9","117"
"Backend","Configuration","YAML","4","138","3","13","154"
"Backend","Documentation","Markdown","15","5982","0","1842","7824"
"Backend","JavaBusiness","Java","191","9211","6","1402","10619"
"Backend","JavaTest","Java","17","1456","0","237","1693"
"Backend","Script","PowerShell","27","3493","11","530","4034"
"Backend","Script","Shell","3","62","1","12","75"
"Backend","SqlMapper","SQL","3","504","2","41","547"
"Frontend","Configuration","EDITORCONFIG","2","22","0","4","26"
"Frontend","Configuration","EXAMPLE","1","2","0","0","2"
"Frontend","Configuration","GITATTRIBUTES","1","1","0","0","1"
"Frontend","Configuration","GITIGNORE","5","163","0","20","183"
"Frontend","Configuration","GITKEEP","2","0","0","2","2"
"Frontend","Configuration","H","1","1","0","0","1"
"Frontend","Configuration","HTML","1","12","0","0","12"
"Frontend","Configuration","JSON","10","725","0","8","733"
"Frontend","Configuration","Kotlin","1","3","0","2","5"
"Frontend","Configuration","Kotlin Script","3","76","6","13","95"
"Frontend","Configuration","METADATA","1","28","0","5","33"
"Frontend","Configuration","Plist","4","112","0","0","112"
"Frontend","Configuration","Properties","2","10","4","0","14"
"Frontend","Configuration","STORYBOARD","2","63","0","0","63"
"Frontend","Configuration","SWIFT","3","25","2","7","34"
"Frontend","Configuration","TypeScript","4","56","6","12","74"
"Frontend","Configuration","Xcode Config","2","2","0","0","2"
"Frontend","Configuration","Xcode Project","1","627","0","17","644"
"Frontend","Configuration","XCSCHEME","1","119","0","0","119"
"Frontend","Configuration","XCSETTINGS","2","16","0","0","16"
"Frontend","Configuration","XCWORKSPACEDATA","2","14","0","0","14"
"Frontend","Configuration","XML","7","66","34","4","104"
"Frontend","Configuration","YAML","2","24","22","7","53"
"Frontend","Documentation","Markdown","57","7438","0","2490","9928"
"Frontend","FlutterBusiness","Dart","112","10011","5","690","10706"
"Frontend","FlutterTest","Dart","27","4284","6","313","4603"
"Frontend","LockFile","JSON","1","7700","0","0","7700"
"Frontend","LockFile","LOCK","1","874","0","0","874"
"Frontend","Script","PowerShell","32","1624","2","153","1779"
"Frontend","VueBusiness","SCSS","2","289","0","10","299"
"Frontend","VueBusiness","TypeScript","19","670","0","82","752"
"Frontend","VueBusiness","Vue","13","314","0","22","336"
"Frontend","VueTest","TypeScript","5","467","0","54","521"
