"Repository","Commit","Timestamp","Day","Month","Type","Subject","Additions","Deletions","Net","FileModifications","Churn"
"Backend","361dfd1","2026-07-02T21:49:47.0000000+08:00","2026-07-02","2026-07","chore","chore: prepare repository baseline and jar deployment docs","3242","0","3242","9","3242"
"Backend","960ca2a","2026-07-02T22:09:19.0000000+08:00","2026-07-02","2026-07","chore","chore: initialize spring boot backend skeleton","734","7","727","42","741"
"Backend","5db2a76","2026-07-02T22:46:05.0000000+08:00","2026-07-02","2026-07","chore","chore: add common infrastructure and project documents","4539","18","4521","35","4557"
"Backend","0a87141","2026-07-02T23:06:17.0000000+08:00","2026-07-02","2026-07","feat","feat: add auth jwt user closure","1777","8","1769","41","1785"
"Backend","81e21cf","2026-07-02T23:43:16.0000000+08:00","2026-07-02","2026-07","feat","feat: add onboarding and follow closure","2505","53","2452","40","2558"
"Backend","e2e1631","2026-07-03T10:14:17.0000000+08:00","2026-07-03","2026-07","feat","feat: add content interaction flow","2418","38","2380","45","2456"
"Backend","cb7e531","2026-07-03T10:39:51.0000000+08:00","2026-07-03","2026-07","feat","feat: add football data query flow","1874","11","1863","32","1885"
"Backend","8c62770","2026-07-03T10:59:49.0000000+08:00","2026-07-03","2026-07","feat","feat: add home feed rule recommendation","1502","1","1501","15","1503"
"Backend","3c84c29","2026-07-03T11:38:30.0000000+08:00","2026-07-03","2026-07","feat","feat: complete T08 user center and admin basics","1961","15","1946","31","1976"
"Backend","b18b413","2026-07-04T08:54:41.0000000+08:00","2026-07-04","2026-07","feat","feat: complete T09 file upload and security hardening","1281","4","1277","26","1285"
"Backend","f88fd8e","2026-07-04T19:10:35.0000000+08:00","2026-07-04","2026-07","feat","feat: complete T10 storage abstraction and media binding","1293","88","1205","39","1381"
"Backend","567ddb9","2026-07-04T19:40:12.0000000+08:00","2026-07-04","2026-07","feat","feat: complete T11 user social graph","1261","2","1259","19","1263"
"Backend","98ca87f","2026-07-04T22:22:55.0000000+08:00","2026-07-04","2026-07","feat","feat: complete T12 comment hot ranking","986","48","938","24","1034"
"Frontend","dd1c3a5","2026-07-16T12:06:49.0000000+08:00","2026-07-16","2026-07","chore","chore: initialize frontend repository and documentation set","8293","0","8293","43","8293"
"Frontend","ea2200f","2026-07-17T15:33:04.0000000+08:00","2026-07-17","2026-07","feat","feat: initialize Flutter mobile and Vue admin skeletons","2787","166","2621","90","2953"
"Frontend","3a3261d","2026-07-17T15:33:18.0000000+08:00","2026-07-17","2026-07","feat","feat: add frontend environment and network foundations","1593","54","1539","40","1647"
"Frontend","cd36d12","2026-07-17T19:24:14.0000000+08:00","2026-07-17","2026-07","feat","feat: add mobile authentication and onboarding flow","2641","94","2547","52","2735"
"Frontend","121af3c","2026-07-17T20:34:56.0000000+08:00","2026-07-17","2026-07","feat","feat: establish mobile client visual baseline","1905","394","1511","34","2299"
"Frontend","6bacfbb","2026-07-18T13:40:35.0000000+08:00","2026-07-18","2026-07","feat","feat: add Flutter main shell and home feed","2768","20","2748","50","2788"
"Frontend","e5f2036","2026-07-18T16:30:22.0000000+08:00","2026-07-18","2026-07","feat","feat: add Flutter content publishing and interaction flow","3474","172","3302","57","3646"
"Frontend","79ad94b","2026-07-18T22:58:44.0000000+08:00","2026-07-18","2026-07","fix","fix: polish F06 team navigation and audit football text data","4926","74","4852","55","5000"
"Frontend","b9a26c8","2026-07-19T10:35:46.0000000+08:00","2026-07-19","2026-07","feat","feat: add Flutter user center follow and message flows","2483","43","2440","35","2526"
"Frontend","92c42f6","2026-07-19T11:13:34.0000000+08:00","2026-07-19","2026-07","feat","feat: add Vue admin authentication and shell","1435","22","1413","39","1457"
