"Repository","Module","Additions","Deletions","Net","UniqueFiles","FileModifications"
"Backend","BackendAdmin","785","0","785","15","15"
"Backend","BackendAuthSecurityFoundation","1415","7","1408","34","43"
"Backend","BackendConfiguration","724","23","701","11","35"
"Backend","BackendContentInteraction","2310","72","2238","40","49"
"Backend","BackendDatabase","633","86","547","3","13"
"Backend","BackendFeed","1143","3","1140","9","13"
"Backend","BackendFootball","1747","0","1747","30","31"
"Backend","BackendOnboardingFollow","1191","0","1191","17","18"
"Backend","BackendOtherTests","12","0","12","1","1"
"Backend","BackendUserFile","3747","62","3685","58","73"
"Backend","Documentation","7497","35","7462","13","68"
"Backend","ValidationScripts","4169","5","4164","31","39"
"Frontend","Documentation","10361","180","10181","53","133"
"Frontend","FlutterAuthOnboarding","1932","379","1553","14","19"
"Frontend","FlutterContentInteraction","1862","22","1840","15","17"
"Frontend","FlutterFootball","2256","0","2256","11","11"
"Frontend","FlutterFoundation","3075","86","2989","73","97"
"Frontend","FlutterHome","1863","122","1741","23","33"
"Frontend","FlutterTests","4624","21","4603","27","34"
"Frontend","FlutterUserCenterMessage","1709","0","1709","11","11"
"Frontend","FrontendConfiguration","446","59","387","13","35"
"Frontend","ValidationScripts","1928","146","1782","34","37"
"Frontend","VueAdmin","2249","24","2225","57","68"
