"Repository","Commit","Date","Month","Category","Language","Path","Additions","Deletions","Net"
"Backend","0a87141","2026-07-02","2026-07","Documentation","Markdown","docs/07_AUTH_SECURITY.md","17","0","17"
"Backend","0a87141","2026-07-02","2026-07","Documentation","Markdown","docs/09_DEPLOYMENT_GUIDE.md","3","1","2"
"Backend","0a87141","2026-07-02","2026-07","Documentation","Markdown","docs/10_AI_CODING_RULES.md","2","0","2"
"Backend","0a87141","2026-07-02","2026-07","Documentation","Markdown","docs/11_VALIDATION_AND_SMOKE_GUIDE.md","34","0","34"
"Backend","0a87141","2026-07-02","2026-07","Documentation","Markdown","docs/12_CODEX_TASK_PLAN.md","13","0","13"
"Backend","0a87141","2026-07-02","2026-07","Documentation","Markdown","README.md","25","1","24"
"Backend","0a87141","2026-07-02","2026-07","Script","Shell","scripts/linux/check-backend.sh","4","0","4"
"Backend","0a87141","2026-07-02","2026-07","Documentation","Markdown","scripts/linux/README.md","7","0","7"
"Backend","0a87141","2026-07-02","2026-07","Script","Shell","scripts/linux/run-backend.sh","1","0","1"
"Backend","0a87141","2026-07-02","2026-07","SqlMapper","SQL","scripts/sql/seed.sql","4","2","2"
"Backend","0a87141","2026-07-02","2026-07","Script","PowerShell","scripts/windows/check-t03.ps1","172","0","172"
"Backend","0a87141","2026-07-02","2026-07","Script","PowerShell","scripts/windows/smoke-auth.ps1","109","0","109"
"Backend","0a87141","2026-07-02","2026-07","JavaBusiness","Java","src/main/java/com/southstand/admin/AdminHealthController.java","24","0","24"
"Backend","0a87141","2026-07-02","2026-07","JavaBusiness","Java","src/main/java/com/southstand/auth/controller/AuthController.java","40","0","40"
"Backend","0a87141","2026-07-02","2026-07","JavaBusiness","Java","src/main/java/com/southstand/auth/dto/LoginRequest.java","31","0","31"
"Backend","0a87141","2026-07-02","2026-07","JavaBusiness","Java","src/main/java/com/southstand/auth/dto/RegisterRequest.java","44","0","44"
"Backend","0a87141","2026-07-02","2026-07","JavaBusiness","Java","src/main/java/com/southstand/auth/security/CurrentUserHolder.java","28","0","28"
"Backend","0a87141","2026-07-02","2026-07","JavaBusiness","Java","src/main/java/com/southstand/auth/security/JwtAccessDeniedHandler.java","28","0","28"
"Backend","0a87141","2026-07-02","2026-07","JavaBusiness","Java","src/main/java/com/southstand/auth/security/JwtAuthenticationEntryPoint.java","28","0","28"
"Backend","0a87141","2026-07-02","2026-07","JavaBusiness","Java","src/main/java/com/southstand/auth/security/JwtAuthenticationFilter.java","64","0","64"
"Backend","0a87141","2026-07-02","2026-07","JavaBusiness","Java","src/main/java/com/southstand/auth/security/JwtAuthenticationToken.java","26","0","26"
"Backend","0a87141","2026-07-02","2026-07","JavaBusiness","Java","src/main/java/com/southstand/auth/security/JwtProperties.java","26","0","26"
"Backend","0a87141","2026-07-02","2026-07","JavaBusiness","Java","src/main/java/com/southstand/auth/security/JwtTokenService.java","69","0","69"
"Backend","0a87141","2026-07-02","2026-07","JavaBusiness","Java","src/main/java/com/southstand/auth/security/LoginUserContext.java","26","0","26"
"Backend","0a87141","2026-07-02","2026-07","JavaBusiness","Java","src/main/java/com/southstand/auth/security/SecurityResponseWriter.java","26","0","26"
"Backend","0a87141","2026-07-02","2026-07","JavaBusiness","Java","src/main/java/com/southstand/auth/service/AuthService.java","188","0","188"
"Backend","0a87141","2026-07-02","2026-07","JavaBusiness","Java","src/main/java/com/southstand/auth/vo/LoginResponse.java","41","0","41"
"Backend","0a87141","2026-07-02","2026-07","JavaBusiness","Java","src/main/java/com/southstand/auth/vo/UserInfoVO.java","77","0","77"
"Backend","0a87141","2026-07-02","2026-07","JavaBusiness","Java","src/main/java/com/southstand/common/config/SecurityConfig.java","28","0","28"
"Backend","0a87141","2026-07-02","2026-07","JavaBusiness","Java","src/main/java/com/southstand/user/entity/SysUser.java","138","0","138"
"Backend","0a87141","2026-07-02","2026-07","JavaBusiness","Java","src/main/java/com/southstand/user/entity/UserOnboarding.java","93","0","93"
"Backend","0a87141","2026-07-02","2026-07","JavaBusiness","Java","src/main/java/com/southstand/user/entity/UserProfile.java","165","0","165"
"Backend","0a87141","2026-07-02","2026-07","JavaBusiness","Java","src/main/java/com/southstand/user/mapper/SysUserMapper.java","7","0","7"
"Backend","0a87141","2026-07-02","2026-07","JavaBusiness","Java","src/main/java/com/southstand/user/mapper/UserOnboardingMapper.java","7","0","7"
"Backend","0a87141","2026-07-02","2026-07","JavaBusiness","Java","src/main/java/com/southstand/user/mapper/UserProfileMapper.java","7","0","7"
"Backend","0a87141","2026-07-02","2026-07","Configuration","YAML","src/main/resources/application.yml","4","0","4"
"Backend","0a87141","2026-07-02","2026-07","Configuration","YAML","src/main/resources/application-dev.yml","6","0","6"
"Backend","0a87141","2026-07-02","2026-07","Configuration","YAML","src/main/resources/application-prod.template.yml","4","3","1"
"Backend","0a87141","2026-07-02","2026-07","Configuration","YAML","src/main/resources/application-template.yml","5","1","4"
"Backend","0a87141","2026-07-02","2026-07","JavaTest","Java","src/test/java/com/southstand/auth/AuthServiceTests.java","101","0","101"
"Backend","0a87141","2026-07-02","2026-07","JavaTest","Java","src/test/java/com/southstand/auth/JwtTokenServiceTests.java","55","0","55"
"Backend","361dfd1","2026-07-02","2026-07","Configuration","GITIGNORE",".gitignore","17","0","17"
"Backend","361dfd1","2026-07-02","2026-07","Documentation","Markdown","docs/00_DOCUMENT_MAP.md","144","0","144"
"Backend","361dfd1","2026-07-02","2026-07","Documentation","Markdown","docs/09_DEPLOYMENT_GUIDE.md","430","0","430"
"Backend","361dfd1","2026-07-02","2026-07","Documentation","Markdown","docs/10_AI_CODING_RULES.md","396","0","396"
"Backend","361dfd1","2026-07-02","2026-07","Documentation","Markdown","docs/11_VALIDATION_AND_SMOKE_GUIDE.md","552","0","552"
