"Repository","Module","Additions","Deletions","Net","UniqueFiles","FileModifications"
"Backend","Configuration","304","16","288","6","16"
"Backend","Documentation","7866","42","7824","15","85"
"Backend","JavaBusiness","10761","142","10619","191","227"
"Backend","JavaTest","1700","7","1693","17","22"
"Backend","Script","4109","0","4109","30","35"
"Backend","SqlMapper","633","86","547","3","13"
"Frontend","Configuration","2367","25","2342","62","74"
"Frontend","Documentation","10170","242","9928","57","157"
"Frontend","FlutterBusiness","11292","586","10706","113","150"
"Frontend","FlutterTest","4624","21","4603","27","34"
"Frontend","Script","1925","146","1779","33","36"
"Frontend","VueBusiness","1406","19","1387","34","39"
"Frontend","VueTest","521","0","521","5","5"
